date|reserved
2020-01-01|20
2020-01-02|16
2020-01-03|16
2020-01-04|16
2020-01-05|11
2020-01-06|10
2020-01-07|10
2020-01-08|11
2020-01-09|11
2020-01-10|13
2020-01-11|13
2020-01-12|10
2020-01-13|9
2020-01-14|9
2020-01-15|10
2020-01-16|12
2020-01-17|15
2020-01-18|15
2020-01-19|10
2020-01-20|13
2020-01-21|11
2020-01-22|12
2020-01-23|14
2020-01-24|15
2020-01-25|15
2020-01-26|17
2020-01-27|17
2020-01-28|13
2020-01-29|10
2020-01-30|11
